sellingPrice,shippingPrice,returnShippingPaidBy,type,brand,operatingSystem,screenSize,hardDriveGB,ramGB,processorType,processorSpeedGHZ,releaseYear,graphicsProcessingType,condition
100,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
199.99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Seller refurbished
549.99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
147.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
148,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Seller refurbished
47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
549.99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
150.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
419.95,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Manufacturer refurbished
999,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For parts or not working
199.96,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Seller refurbished
74.98,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
249.99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
99.99,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
679.99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Manufacturer refurbished
474.59,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
70,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
299.99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
24.5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
129.99,12.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
20.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For parts or not working
499,34.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
162.99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Manufacturer refurbished
399.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
199.99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Manufacturer refurbished
45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For parts or not working
159.99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Manufacturer refurbished
286.49,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Seller refurbished
279.99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Seller refurbished
114.99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
299.99,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Manufacturer refurbished
209.99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
88.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Seller refurbished
159.9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
200,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
89,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
154.99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Manufacturer refurbished
149.15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Manufacturer refurbished
95,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
250,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
929.99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
137.95,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Seller refurbished
859,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Manufacturer refurbished
193.19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
204.5,4.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Seller refurbished
273.49,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Seller refurbished
599.99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
29.99,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
34.99,14.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For parts or not working
499.99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Manufacturer refurbished
49.99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
349.95,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For parts or not working
563,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Seller refurbished
27.99,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
355,9.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Manufacturer refurbished
175,9.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Manufacturer refurbished
81,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For parts or not working
156.66,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For parts or not working
649.99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
399.99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
20.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For parts or not working
130.49,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
22.72,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For parts or not working
179.99,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
242.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
520,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
49.99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
96,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For parts or not working
275,18.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
860,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
71,13.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
210,9.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Manufacturer refurbished
101,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For parts or not working
56,16.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
349.99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
210,9.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Manufacturer refurbished
229.99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
66,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For parts or not working
101.01,19.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
110.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
91,18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For parts or not working
46,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
122.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For parts or not working
48,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
560,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
56.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For parts or not working
56,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Seller refurbished
265,9.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Manufacturer refurbished
199.99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
39.95,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For parts or not working
39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For parts or not working
127.49,17.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
365,9.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Manufacturer refurbished
89,14.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For parts or not working
123.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
51,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For parts or not working
80.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
44,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For parts or not working
54.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For parts or not working
49.99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For parts or not working
51,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For parts or not working
70,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
35.99,14.99,Buyer,Laptop,NA,NA,7,8,0.512,NA,1.5,NA,NA,New
60,9.95,Buyer,Laptop,Dell,Windows 7,14,NA,2,INTEL,2.26,NA,NA,Used
209.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For parts or not working
123,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For parts or not working
137,NA,Buyer,Notebook,Dell,Windows Vista,13.3,NA,4,INTEL,2.4,NA,Integrated,Used
49.99,NA,NA,Notebook,Acer,NA,15,80,0.512,INTEL,NA,NA,NA,Used
49.99,NA,NA,Notebook,Dell,NA,15.4,NA,NA,NA,NA,NA,Integrated,Used
135,18.5,Seller,Notebook,Dell,NA,15.6,NA,2,INTEL,1.6,NA,NA,For parts or not working
71,0,NA,NA,Lenovo,NA,NA,NA,NA,NA,NA,NA,NA,For parts or not working
215.5,0,NA,NA,Lenovo,NA,NA,NA,NA,NA,NA,NA,NA,For parts or not working
32,NA,NA,Notebook,Toshiba,NA,17,NA,2,INTEL,1.66,2007,Integrated,For parts or not working
202.5,12.21,Buyer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
26.5,12.5,NA,Notebook,Samsung,NA,NA,NA,NA,NA,NA,NA,NA,For parts or not working
127.26,15,NA,Laptop,HP,Chrome OS,11.6,16,2,NA,1.7,2014,NA,Used
29.99,13,NA,Notebook,HP,Not included,14.1,NA,2,INTEL,2.53,NA,Integrated,For parts or not working
29.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For parts or not working
300,NA,NA,Laptop,NA,Windows 7,17,1000,8,INTEL,2.53,NA,Dedicated,Used
549.99,0,Buyer,Notebook,Dell,Windows 7,13.3,320,8,NA,3,NA,NA,New
72,30,Buyer,Notebook,Fujitsu,Not included,12.1,NA,NA,NA,NA,NA,NA,For parts or not working
199,0,Buyer,Notebook,HP,Windows 8,15.6,1000,4,AMD,NA,NA,Integrated,New
39,4.95,NA,Netbook,NA,Windows 7,7,NA,NA,NA,NA,NA,NA,New
220,0,NA,Notebook,Toshiba,Windows 7,15.6,500,4,INTEL,2.53,NA,Integrated,Seller refurbished
899.99,0,Buyer,Notebook,Lenovo,Windows 8,15.6,256,16,INTEL,2.4,NA,Integrated,Seller refurbished
112.5,NA,Buyer,Notebook,Toshiba,Windows 8,15.6,500,4,AMD,1,NA,NA,Used
159.95,NA,Buyer,Notebook,HP,Windows 7,14,320,4,INTEL,2.53,NA,NA,Seller refurbished
20.5,NA,Buyer,NA,Dell,NA,NA,NA,NA,NA,NA,NA,NA,Used
197.5,9.99,Buyer,NA,Dell,Windows 7,14.1,320,4,INTEL,2.5,NA,NA,Manufacturer refurbished
647.97,0,Buyer,Notebook,Toshiba,Windows 8,15.6,NA,NA,NA,NA,NA,NA,New
289.99,0,Buyer,Notebook,Lenovo,Windows 7,12.5,160,4,INTEL,2.5,NA,Integrated,Seller refurbished
99.99,21,Seller,NA,Dell,NA,15.4,119.2,8,INTEL,2.67,NA,NA,Used
325,0,NA,Notebook,Dell,Windows 8,11.6,500,4,INTEL,2.16,NA,Integrated,New
165,0,Buyer,Notebook,Dell,Windows 7,NA,160,4,INTEL,1.86,NA,NA,Seller refurbished
49.99,28,Buyer,Notebook,IBM,Not included,15.2,NA,2,INTEL,2.2,NA,NA,Used
269.99,0,Buyer,NA,Toshiba,NA,NA,NA,NA,NA,NA,NA,NA,New
49.99,28,Buyer,Notebook,IBM,Not included,15.2,NA,2,INTEL,2.2,NA,NA,Used
549.99,0,Buyer,Notebook,Dell,Windows 8,17.3,1000,8,INTEL,NA,NA,Integrated,New
31,15,Buyer,Laptop,Lenovo,Windows Vista,NA,120,4,INTEL,2.2,NA,NA,Used
730,0,NA,Laptop,Lenovo,Windows 8,13.3,256,8,NA,1.1,2014,NA,Used
160,0,NA,Ultrabook,Asus,NA,NA,NA,NA,NA,NA,NA,NA,Used
75,NA,NA,Notebook,Samsung,Chrome OS,11.6,16,2,NA,1.7,NA,Integrated,Used
499.88,0,Buyer,Notebook,Dell,Windows 8,17.3,1000,8,AMD,2.1,NA,Dedicated,New
71,0,Buyer,Notebook,Toshiba,Windows Vista,15.6,160,2,INTEL,2.2,2009,Integrated,Used
120.5,18.5,Seller,Notebook,Dell,NA,17.3,NA,2,INTEL,1.8,NA,NA,For parts or not working
139.99,0,NA,Notebook,Gateway,Windows 2000,17,200,4,INTEL,2.26,NA,Dedicated,Used
259,0,NA,NA,Dell,NA,NA,NA,NA,NA,NA,NA,NA,For parts or not working
119.99,13.8,Buyer,Notebook,Dell,Windows 7,14.1,80,2,INTEL,2,NA,NA,Used
99.99,0,Buyer,Notebook,Lenovo,Not included,15.4,160,4,INTEL,2.4,NA,Integrated,Used
52,NA,Buyer,Notebook,Dell,Windows 7,13.3,NA,4,INTEL,2.53,NA,Integrated,For parts or not working
139,0,Buyer,Notebook,Dell,Windows 7,14.1,60,2,INTEL,2.26,NA,Integrated,Seller refurbished
142.5,14.99,Buyer,Notebook,Dell,Windows 7,11.6,220,6,NA,1.2,NA,Integrated,Used
45,18,Seller,NA,HP,NA,14.1,160,2,INTEL,2.2,NA,NA,Used
279.95,16.95,Buyer,Notebook,HP,Windows 7,15.6,500,4,AMD,2.7,2013,Dedicated,Seller refurbished
190.27,NA,Buyer,Notebook,Toshiba,Windows 8,15.6,500,4,AMD,1.3,NA,NA,Used
219.99,0,Buyer,Notebook,Asus,Windows 8,15.6,500,4,INTEL,2.16,NA,NA,Manufacturer refurbished
470,0,NA,Laptop,Lenovo,Windows 8,15.6,1000,8,INTEL,2,2014,Dedicated,Used
1749.99,0,Buyer,Notebook,NA,Windows 8,14,256,8,NA,2.2,NA,Dedicated,New
27,15,NA,Notebook,Toshiba,NA,17,750,6,AMD,1.5,NA,NA,For parts or not working
300,NA,NA,Notebook,HP,Windows XP,14,NA,NA,NA,NA,NA,NA,New
361.19,0,Seller,Notebook,Toshiba,Windows 8,15.6,500,6,INTEL,2.6,NA,Integrated,New
54.99,20,Buyer,Notebook,Panasonic,Not included,13.3,NA,2,INTEL,1.6,NA,NA,Used
44.99,0,Buyer,NA,Panasonic,Not included,10.4,60,0.512,INTEL,1.2,NA,NA,Used
147.5,0,Buyer,Notebook,Lenovo,Not included,13.3,320,2.048,INTEL,2.6,NA,NA,Used
333.59,0,Seller,Notebook,HP,Windows 8,17.3,750,6,INTEL,2.4,NA,NA,Seller refurbished
178,0,Buyer,Notebook,Dell,Windows 7,14.1,250,4,INTEL,2.4,NA,NA,Seller refurbished
51,NA,NA,NA,Samsung,NA,NA,NA,NA,NA,NA,NA,NA,Used
179,NA,NA,Notebook,Lenovo,Windows 7,14,320,4,INTEL,2.5,NA,Integrated,Used
56,0,Buyer,Notebook,Dell,Not included,14,160,2.048,INTEL,2.67,NA,NA,Used
44.99,0,Buyer,Notebook,Dell,Not included,NA,NA,1,INTEL,1.66,NA,NA,Used
329.99,0,Buyer,Notebook,Lenovo,Windows 8,15.6,500,6,AMD,2,NA,Dedicated,New
269.99,0,Buyer,Notebook,Toshiba,Windows 8,15.6,500,4,INTEL,NA,NA,Integrated,New
160,9.99,Buyer,NA,Dell,Windows 7,14.1,250,4,INTEL,2.5,NA,NA,Manufacturer refurbished
399.99,0,NA,Notebook,Toshiba,Windows 8,13.3,128,4,INTEL,1.7,NA,Integrated,Used
195,9.99,Buyer,NA,Dell,Windows 7,14,120,3,INTEL,2.5,NA,NA,Manufacturer refurbished
150,NA,NA,Laptop,Panasonic,Windows 7,10.4,NA,2,INTEL,1.2,2009,Integrated,Used
22.49,7.95,Buyer,Notebook,Dell,Not included,NA,NA,4,INTEL,2.4,NA,Integrated,Used
299.99,0,Buyer,Laptop,Toshiba,Windows 8,11.6,500,2,INTEL,2.16,NA,NA,New
479.99,0,Buyer,NA,HP,Windows 8,NA,NA,NA,NA,2.4,NA,Integrated,New
33.32,7.95,Buyer,Notebook,Dell,Not included,NA,NA,4,INTEL,2.53,NA,Integrated,Used
299.99,0,Buyer,Notebook,Lenovo,Windows 7,12.5,320,4,INTEL,2.6,NA,Integrated,Manufacturer refurbished
209.99,5.99,NA,Notebook,Asus,Windows 8,15.6,NA,NA,INTEL,NA,NA,NA,Used
550,0,NA,Laptop,Lenovo,Windows 8,11.6,160,8,INTEL,2,NA,Integrated,Used
100,NA,NA,Notebook,Acer,Windows 7,15.6,500,4,NA,2.2,NA,Integrated,Used
209,NA,Buyer,Notebook,Lenovo,Windows 7,14,250,4,INTEL,3,NA,Integrated,Seller refurbished
69,21.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
251.59,0,Seller,Notebook,Toshiba,Windows 8,15.6,750,6,INTEL,2.4,NA,NA,Seller refurbished
21,7.95,Buyer,Notebook,Dell,Not included,NA,NA,4,INTEL,2.4,NA,Integrated,Used
25,20,Buyer,NA,Lenovo,Not included,14.1,NA,0.512,INTEL,1.83,NA,NA,Used
155,16,NA,Notebook,Dell,Windows 7,NA,160,4,INTEL,1.73,NA,Dedicated,Seller refurbished
209.95,0,Buyer,Notebook,Dell,Windows 7,15.4,500,4,INTEL,NA,NA,Integrated,Seller refurbished
135,15,NA,Notebook,HP,Windows 8,15.6,750,4,INTEL,2.16,NA,Integrated,Seller refurbished
95,NA,Buyer,Netbook,Asus,Windows 7,10.1,250,1,ATOM,1.66,NA,Integrated,Seller refurbished
30,15,NA,Notebook,Dell,NA,14.1,NA,NA,NA,NA,NA,Integrated,For parts or not working
547,0,Buyer,Notebook,Dell,Windows 8,15.6,1000,6,INTEL,2.7,NA,NA,New
36.99,26.75,NA,Laptop,Lenovo,Not included,15.4,NA,NA,INTEL,2.4,NA,Integrated,Used
600,19.99,NA,Notebook,Dell,Windows 7,17.3,1000,8,INTEL,1.8,2013,Dedicated,Used
299.99,0,Buyer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
91,7.95,Buyer,Notebook,HP,Not included,NA,NA,4,INTEL,2.53,NA,Dedicated,Used
69,21.9,NA,Notebook,Lenovo,NA,15.4,NA,NA,NA,NA,NA,Integrated,Used
83,0,Buyer,Laptop,Lenovo,NA,12.1,160,4,INTEL,1.86,NA,Integrated,Seller refurbished
659,0,Buyer,Notebook,Dell,Windows 8,17.3,1000,8,INTEL,1.7,NA,Integrated,New
529.99,0,Buyer,Ultrabook,Dell,NA,NA,NA,NA,NA,NA,NA,NA,Manufacturer refurbished
240,9.99,Buyer,NA,Dell,Windows 7,14,500,4,INTEL,2.5,NA,NA,Manufacturer refurbished
54,7.95,Buyer,Notebook,HP,Not included,NA,NA,4,INTEL,2.66,NA,Dedicated,Used
549.99,0,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,New
132.5,7.95,Buyer,Notebook,HP,Not included,NA,NA,4,INTEL,2.8,NA,Dedicated,Used
1449.99,0,Buyer,NA,Asus,NA,NA,NA,NA,NA,NA,NA,NA,New
420,15,NA,Notebook,Toshiba,Windows 8,15.6,1000,8,INTEL,2.4,NA,Integrated,Used
