sellingPrice,shippingPrice,returnShippingPaidBy,type,brand,operatingSystem,screenSize,hardDriveGB,ramGB,processorType,processorSpeedGHZ,releaseYear,graphicsProcessingType,condition
479.95,0,Seller,Portable,Sony,Windows 2000,14.1,320,4,ATOM,2.13,2002,Integrated,Manufacturer refurbished
479.95,0,Buyer,Portable,Dell,Windows 2000,14.1,320,4,ATOM,2.13,2003,Hybrid,Manufacturer refurbished
39.95,15,Buyer,Ultrabook,Panasonic,Windows 7,14.1,320,4,AMD,2.13,2007,Integrated,Used
299.99,0,Seller,Laptop,Panasonic,Not included,14.1,320,4,ATOM,2.13,2006,Hybrid,Manufacturer refurbished
211.95,0,Seller,Netbook,Panasonic,Windows XP,14.1,320,4,AMD,2.13,2002,Hybrid,Seller refurbished
34.95,0,Buyer,Notebook,Acer,Windows 2000,14.1,320,4,INTEL,2.13,2007,Hybrid,For parts or not working
599.99,0,Seller,Portable,Compaq,Windows 7,14.1,320,4,ATOM,2.13,2009,Dedicated,Manufacturer refurbished
174,0,Seller,Netbook,Panasonic,Windows Vista,14.1,320,4,INTEL,2.13,2012,Integrated,Seller refurbished
49.99,0,Seller,Ultrabook,Fujitsu,Chrome OS,14.1,320,4,ATOM,2.13,2009,Hybrid,Used
298.95,0,Buyer,Netbook,Gateway,Windows Vista,14.1,320,4,INTEL,2.13,2009,Hybrid,New
66,0,Seller,Portable,Samsung,Chrome OS,14.1,320,4,AMD,2.13,2006,Integrated,Used
268.98,0,Seller,Laptop,Gateway,Windows 7,14.1,320,4,AMD,2.13,2003,Integrated,New
56,0,Seller,Ultrabook,Asus,Chrome OS,14.1,320,4,INTEL,2.13,2008,Dedicated,Seller refurbished
589.99,0,Seller,Ultrabook,IBM,Windows 2000,14.1,320,4,ATOM,2.13,2003,Integrated,New
159.96,0,Seller,Ultrabook,HP,Windows 8,14.1,320,4,AMD,2.13,2013,Dedicated,Seller refurbished
125,0,Seller,Netbook,Lenovo,Windows Vista,14.1,320,4,INTEL,2.13,2011,Hybrid,Used
639,19.99,Seller,Netbook,Emachines,Windows Vista,14.1,320,4,ATOM,2.13,2011,Integrated,Manufacturer refurbished
399.99,0,Buyer,Ultrabook,Acer,Windows XP,14.1,320,4,ATOM,2.13,2008,Hybrid,Used
629.99,0,Buyer,Ultrabook,Gateway,Chrome OS,14.1,320,4,INTEL,2.13,2001,Hybrid,New
100,15,Seller,Portable,Panasonic,Windows 2000,14.1,320,4,ATOM,2.13,2012,Dedicated,Used
199.99,0,Seller,Netbook,Sony,Chrome OS,14.1,320,4,ATOM,2.13,2000,Dedicated,Seller refurbished
549.99,0,Buyer,Ultrabook,Samsung,Chrome OS,14.1,320,4,ATOM,2.13,2007,Integrated,New
147.5,0,Seller,Laptop,Sony,Windows Vista,14.1,320,4,INTEL,2.13,2005,Integrated,Used
148,0,Seller,Notebook,Compaq,Not included,14.1,320,4,AMD,2.13,2003,Integrated,Seller refurbished
47,0,Seller,Ultrabook,Emachines,Windows 8,14.1,320,4,ATOM,2.13,2015,Integrated,Used
549.99,0,Seller,Laptop,Gateway,Windows 2000,14.1,320,4,AMD,2.13,2011,Dedicated,New
150.5,0,Seller,Notebook,Fujitsu,Not included,14.1,320,4,INTEL,2.13,2002,Integrated,Used
419.95,0,Buyer,Notebook,Lenovo,Windows XP,14.1,320,4,INTEL,2.13,2015,Dedicated,Manufacturer refurbished
999,0,Seller,Notebook,IBM,Windows Vista,14.1,320,4,ATOM,2.13,2010,Hybrid,New
26,0,Buyer,Portable,Emachines,Not included,14.1,320,4,ATOM,2.13,2003,Hybrid,For parts or not working
199.96,0,Seller,Ultrabook,Fujitsu,Windows 7,14.1,320,4,AMD,2.13,2010,Hybrid,Seller refurbished
74.98,15,Seller,Laptop,Asus,Windows 7,14.1,320,4,INTEL,2.13,2007,Integrated,Used
249.99,0,Seller,Laptop,Acer,Chrome OS,14.1,320,4,AMD,2.13,2010,Hybrid,New
99.99,18,Seller,Netbook,Sony,Windows 2000,14.1,320,4,ATOM,2.13,2012,Hybrid,Used
679.99,0,Seller,Ultrabook,Asus,Windows Vista,14.1,320,4,AMD,2.13,2007,Dedicated,Manufacturer refurbished
474.59,0,Buyer,Netbook,IBM,Windows 7,14.1,320,4,AMD,2.13,2007,Dedicated,New
70,30,Buyer,Portable,Acer,Windows XP,14.1,320,4,INTEL,2.13,2015,Hybrid,Used
299.99,0,Buyer,Portable,IBM,Windows 2000,14.1,320,4,AMD,2.13,2008,Hybrid,New
24.5,14,Buyer,Netbook,Emachines,Windows Vista,14.1,320,4,AMD,2.13,2007,Dedicated,Used
129.99,12.99,Buyer,Notebook,Toshiba,Chrome OS,14.1,320,4,ATOM,2.13,2013,Hybrid,Used
20.5,0,Buyer,Netbook,Lenovo,Not included,14.1,320,4,INTEL,2.13,2011,Integrated,For parts or not working
499,34.99,Buyer,Ultrabook,Toshiba,Not included,14.1,320,4,AMD,2.13,2000,Dedicated,New
162.99,0,Seller,Notebook,Dell,Windows Vista,14.1,320,4,AMD,2.13,2012,Integrated,Manufacturer refurbished
399.99,0,Buyer,Notebook,Panasonic,Windows 8,14.1,320,4,AMD,2.13,2015,Integrated,New
199.99,0,Buyer,Notebook,HP,Windows 2000,14.1,320,4,ATOM,2.13,2010,Hybrid,Manufacturer refurbished
45,0,Seller,Portable,Samsung,Windows 7,14.1,320,4,AMD,2.13,2014,Hybrid,For parts or not working
159.99,0,Seller,Notebook,Sony,Windows 8,14.1,320,4,INTEL,2.13,2015,Integrated,Manufacturer refurbished
286.49,0,Seller,Notebook,Lenovo,Windows 7,14.1,320,4,INTEL,2.13,2000,Dedicated,Seller refurbished
279.99,0,Seller,Portable,Emachines,Windows Vista,14.1,320,4,INTEL,2.13,2014,Dedicated,Seller refurbished
114.99,0,Seller,Portable,Sony,Not included,14.1,320,4,AMD,2.13,2006,Hybrid,Used
299.99,19,Seller,Notebook,Emachines,Chrome OS,14.1,320,4,ATOM,2.13,2001,Hybrid,Manufacturer refurbished
209.99,0,Buyer,Notebook,Acer,Windows Vista,14.1,320,4,AMD,2.13,2006,Dedicated,New
88.75,0,Seller,Laptop,Compaq,Windows XP,14.1,320,4,INTEL,2.13,2015,Hybrid,Seller refurbished
159.9,0,Seller,Laptop,Samsung,Windows 2000,14.1,320,4,INTEL,2.13,2003,Integrated,New
200,0,Seller,Netbook,Samsung,Chrome OS,14.1,320,4,AMD,2.13,2013,Hybrid,New
89,0,Seller,Ultrabook,IBM,Windows 7,14.1,320,4,INTEL,2.13,2008,Dedicated,Used
154.99,0,Seller,Laptop,Samsung,Windows Vista,14.1,320,4,INTEL,2.13,2013,Hybrid,Manufacturer refurbished
149.15,0,Buyer,Ultrabook,Panasonic,Not included,14.1,320,4,AMD,2.13,2013,Hybrid,Manufacturer refurbished
95,0,Buyer,Laptop,Panasonic,Windows 8,14.1,320,4,ATOM,2.13,2002,Hybrid,Used
250,11,Buyer,Netbook,HP,Chrome OS,14.1,320,4,ATOM,2.13,2015,Integrated,Used
929.99,0,Buyer,Netbook,Compaq,Windows Vista,14.1,320,4,ATOM,2.13,2007,Integrated,New
137.95,0,Seller,Netbook,Emachines,Windows 7,14.1,320,4,INTEL,2.13,2000,Dedicated,Seller refurbished
859,0,Buyer,Ultrabook,Fujitsu,Windows 7,14.1,320,4,AMD,2.13,2011,Integrated,Manufacturer refurbished
193.19,0,Seller,Laptop,Toshiba,Windows Vista,14.1,320,4,INTEL,2.13,2009,Hybrid,New
204.5,4.99,Buyer,Notebook,Fujitsu,Windows Vista,14.1,320,4,AMD,2.13,2003,Integrated,Seller refurbished
273.49,0,Seller,Laptop,Sony,Windows Vista,14.1,320,4,AMD,2.13,2001,Dedicated,Seller refurbished
599.99,0,Buyer,Ultrabook,Acer,Chrome OS,14.1,320,4,ATOM,2.13,2014,Hybrid,New
29.99,12,Buyer,Laptop,Sony,Windows XP,14.1,320,4,ATOM,2.13,2000,Integrated,Used
34.99,14.99,Buyer,Netbook,Asus,Not included,14.1,320,4,ATOM,2.13,2011,Dedicated,New
45,0,Seller,Laptop,HP,Windows 7,14.1,320,4,INTEL,2.13,2005,Integrated,For parts or not working
499.99,0,Seller,Laptop,HP,Windows XP,14.1,320,4,AMD,2.13,2007,Integrated,Manufacturer refurbished
49.99,0,Buyer,Laptop,IBM,Windows 8,14.1,320,4,INTEL,2.13,2015,Dedicated,New
349.95,15,Seller,Notebook,Samsung,Not included,14.1,320,4,ATOM,2.13,2001,Hybrid,For parts or not working
563,0,Seller,Laptop,Emachines,Windows 8,14.1,320,4,INTEL,2.13,2014,Integrated,Seller refurbished
27.99,18,Seller,Netbook,Samsung,Windows XP,14.1,320,4,AMD,2.13,2011,Integrated,Used
355,9.99,Seller,Portable,Lenovo,Windows Vista,14.1,320,4,ATOM,2.13,2006,Integrated,Manufacturer refurbished
175,9.99,Buyer,Notebook,Lenovo,Windows Vista,14.1,320,4,AMD,2.13,2000,Hybrid,Manufacturer refurbished
81,18,Buyer,Ultrabook,Sony,Windows XP,14.1,320,4,ATOM,2.13,2001,Dedicated,For parts or not working
156.66,0,Buyer,Ultrabook,IBM,Windows 7,14.1,320,4,INTEL,2.13,2002,Integrated,For parts or not working
649.99,0,Seller,Portable,Toshiba,Windows Vista,14.1,320,4,INTEL,2.13,2004,Hybrid,New
399.99,0,Buyer,Notebook,Samsung,Chrome OS,14.1,320,4,ATOM,2.13,2002,Integrated,New
20.5,5,Buyer,Notebook,Sony,Windows 2000,14.1,320,4,AMD,2.13,2003,Integrated,For parts or not working
130.49,0,Seller,Laptop,Panasonic,Not included,14.1,320,4,AMD,2.13,2001,Integrated,Used
25,15,Buyer,Notebook,Acer,Windows 2000,14.1,320,4,ATOM,2.13,2000,Dedicated,Used
22.72,13,Buyer,Portable,Asus,Not included,14.1,320,4,AMD,2.13,2010,Dedicated,For parts or not working
179.99,12,Seller,Notebook,Gateway,Chrome OS,14.1,320,4,ATOM,2.13,2005,Hybrid,Used
242.5,0,Seller,Ultrabook,IBM,Windows 8,14.1,320,4,INTEL,2.13,2014,Integrated,New
520,0,Seller,Portable,Gateway,Not included,14.1,320,4,AMD,2.13,2003,Dedicated,Used
49.99,0,Seller,Netbook,Emachines,Windows Vista,14.1,320,4,ATOM,2.13,2014,Dedicated,New
155,0,Buyer,Portable,IBM,Windows 2000,14.1,320,4,ATOM,2.13,2012,Dedicated,Used
96,5,Seller,Ultrabook,Acer,Windows 2000,14.1,320,4,ATOM,2.13,2000,Hybrid,For parts or not working
275,18.99,Buyer,Netbook,Asus,Windows 8,14.1,320,4,INTEL,2.13,2014,Dedicated,Used
860,15,Seller,Notebook,Sony,Windows Vista,14.1,320,4,INTEL,2.13,2002,Dedicated,New
71,13.95,Buyer,Netbook,Lenovo,Windows 2000,14.1,320,4,AMD,2.13,2010,Integrated,Used
630,0,Seller,Laptop,Fujitsu,Chrome OS,14.1,320,4,AMD,2.13,2009,Hybrid,New
210,9.99,Buyer,Netbook,Fujitsu,Chrome OS,14.1,320,4,AMD,2.13,2013,Dedicated,Manufacturer refurbished
101,0,Buyer,Netbook,Panasonic,Windows 7,14.1,320,4,ATOM,2.13,2004,Hybrid,For parts or not working
56,16.99,Buyer,Portable,Fujitsu,Windows 2000,14.1,320,4,INTEL,2.13,2009,Integrated,Used
51,0,Buyer,Ultrabook,IBM,Windows 8,14.1,320,4,AMD,2.13,2003,Dedicated,Used
349.99,0,Buyer,Notebook,Asus,Windows XP,14.1,320,4,ATOM,2.13,2005,Hybrid,New
210,9.99,Seller,Netbook,Asus,Windows XP,14.1,320,4,INTEL,2.13,2003,Integrated,Manufacturer refurbished
229.99,0,Buyer,Netbook,Asus,Not included,14.1,320,4,ATOM,2.13,2002,Dedicated,New
66,12,Buyer,Laptop,Fujitsu,Windows XP,14.1,320,4,ATOM,2.13,2010,Hybrid,For parts or not working
101.01,19.99,Seller,Laptop,HP,Windows 7,14.1,320,4,INTEL,2.13,2015,Hybrid,Used
50,0,Buyer,Netbook,Samsung,Windows XP,14.1,320,4,ATOM,2.13,2000,Dedicated,Used
110.5,0,Seller,Laptop,Gateway,Windows 7,14.1,320,4,AMD,2.13,2008,Hybrid,Used
91,18.5,Seller,Ultrabook,Gateway,Windows Vista,14.1,320,4,AMD,2.13,2003,Hybrid,For parts or not working
46,0,Seller,Laptop,Sony,Windows Vista,14.1,320,4,AMD,2.13,2000,Hybrid,Used
50,0,Buyer,Notebook,Panasonic,Windows 8,14.1,320,4,INTEL,2.13,2012,Integrated,Used
150,0,Seller,Ultrabook,Toshiba,Windows XP,14.1,320,4,ATOM,2.13,2004,Dedicated,Used
122.5,0,Seller,Ultrabook,Emachines,Windows 8,14.1,320,4,ATOM,2.13,2006,Dedicated,For parts or not working
48,20,Seller,Netbook,Gateway,Windows Vista,14.1,320,4,AMD,2.13,2007,Integrated,Used
60,0,Seller,Ultrabook,Dell,Windows Vista,14.1,320,4,AMD,2.13,2008,Dedicated,Used
560,0,Buyer,Portable,Gateway,Windows 2000,14.1,320,4,INTEL,2.13,2013,Hybrid,Used
56.01,0,Seller,Ultrabook,Compaq,Windows 8,14.1,320,4,INTEL,2.13,2014,Integrated,For parts or not working
56,8,Seller,Notebook,Acer,Windows XP,14.1,320,4,INTEL,2.13,2012,Integrated,Seller refurbished
265,9.99,Buyer,Ultrabook,Toshiba,Windows Vista,14.1,320,4,INTEL,2.13,2005,Integrated,Manufacturer refurbished
199.99,0,Buyer,Portable,Panasonic,Windows XP,14.1,320,4,ATOM,2.13,2000,Hybrid,Used
39.95,0,Seller,Laptop,Compaq,Windows Vista,14.1,320,4,ATOM,2.13,2002,Dedicated,For parts or not working
39,0,Buyer,Notebook,Emachines,Windows XP,14.1,320,4,ATOM,2.13,2013,Hybrid,For parts or not working
127.49,17.9,Seller,Portable,Sony,Windows XP,14.1,320,4,INTEL,2.13,2009,Dedicated,Used
365,9.99,Seller,Notebook,Compaq,Not included,14.1,320,4,AMD,2.13,2013,Dedicated,Manufacturer refurbished
89,14.99,Seller,Notebook,Samsung,Chrome OS,14.1,320,4,ATOM,2.13,2008,Hybrid,For parts or not working
123.5,0,Seller,Ultrabook,Asus,Windows 8,14.1,320,4,INTEL,2.13,2008,Hybrid,Used
51,9,Seller,Ultrabook,Lenovo,Chrome OS,14.1,320,4,INTEL,2.13,2013,Integrated,Used
45,0,Seller,Portable,Dell,Windows 8,14.1,320,4,ATOM,2.13,2006,Dedicated,For parts or not working
80.99,0,Seller,Notebook,Dell,Chrome OS,14.1,320,4,AMD,2.13,2001,Hybrid,Used
44,12,Seller,Netbook,Dell,Windows XP,14.1,320,4,ATOM,2.13,2007,Integrated,For parts or not working
54.99,0,Seller,Notebook,Fujitsu,Windows XP,14.1,320,4,AMD,2.13,2007,Hybrid,For parts or not working
49.99,0,Seller,Laptop,Panasonic,Windows 2000,14.1,320,4,AMD,2.13,2009,Hybrid,For parts or not working
51,0,Buyer,Netbook,Acer,Windows XP,14.1,320,4,INTEL,2.13,2009,Dedicated,For parts or not working
70,25,Seller,Laptop,IBM,Not included,14.1,320,4,INTEL,2.13,2006,Dedicated,Used
35.99,14.99,Buyer,Laptop,HP,Windows 8,7,8,0.512,ATOM,1.5,2010,Integrated,New
60,9.95,Buyer,Laptop,Dell,Windows 7,14,320,2,INTEL,2.26,2003,Dedicated,Used
209.5,0,Buyer,Laptop,HP,Chrome OS,14.1,320,4,ATOM,2.13,2008,Integrated,For parts or not working
123,0,Buyer,Ultrabook,HP,Windows XP,14.1,320,4,INTEL,2.13,2001,Dedicated,For parts or not working
137,0,Buyer,Notebook,Dell,Windows Vista,13.3,320,4,INTEL,2.4,2013,Integrated,Used
49.99,0,Seller,Notebook,Acer,Windows 2000,15,80,0.512,INTEL,2.13,2013,Dedicated,Used
49.99,0,Buyer,Notebook,Dell,Windows XP,15.4,320,4,ATOM,2.13,2010,Integrated,Used
135,18.5,Seller,Notebook,Dell,Windows 8,15.6,320,2,INTEL,1.6,2014,Hybrid,For parts or not working
71,0,Seller,Laptop,Lenovo,Not included,14.1,320,4,INTEL,2.13,2012,Integrated,For parts or not working
215.5,0,Buyer,Netbook,Lenovo,Not included,14.1,320,4,ATOM,2.13,2010,Hybrid,For parts or not working
32,0,Seller,Notebook,Toshiba,Windows XP,17,320,2,INTEL,1.66,2007,Integrated,For parts or not working
202.5,12.21,Buyer,Laptop,Toshiba,Windows 7,14.1,320,4,AMD,2.13,2005,Hybrid,New
26.5,12.5,Seller,Notebook,Samsung,Windows Vista,14.1,320,4,INTEL,2.13,2008,Dedicated,For parts or not working
127.26,15,Buyer,Laptop,HP,Chrome OS,11.6,16,2,ATOM,1.7,2014,Integrated,Used
29.99,13,Buyer,Notebook,HP,Not included,14.1,320,2,INTEL,2.53,2004,Integrated,For parts or not working
29.99,0,Buyer,Notebook,Lenovo,Windows 2000,14.1,320,4,ATOM,2.13,2004,Dedicated,For parts or not working
300,0,Buyer,Laptop,Compaq,Windows 7,17,1000,8,INTEL,2.53,2000,Dedicated,Used
549.99,0,Buyer,Notebook,Dell,Windows 7,13.3,320,8,AMD,3,2010,Dedicated,New
72,30,Buyer,Notebook,Fujitsu,Not included,12.1,320,4,ATOM,2.13,2013,Dedicated,For parts or not working
199,0,Buyer,Notebook,HP,Windows 8,15.6,1000,4,AMD,2.13,2006,Integrated,New
39,4.95,Seller,Netbook,Emachines,Windows 7,7,320,4,INTEL,2.13,2013,Hybrid,New
220,0,Seller,Notebook,Toshiba,Windows 7,15.6,500,4,INTEL,2.53,2003,Integrated,Seller refurbished
899.99,0,Buyer,Notebook,Lenovo,Windows 8,15.6,256,16,INTEL,2.4,2015,Integrated,Seller refurbished
112.5,0,Buyer,Notebook,Toshiba,Windows 8,15.6,500,4,AMD,1,2000,Hybrid,Used
159.95,0,Buyer,Notebook,HP,Windows 7,14,320,4,INTEL,2.53,2008,Dedicated,Seller refurbished
20.5,0,Buyer,Netbook,Dell,Windows 8,14.1,320,4,INTEL,2.13,2007,Dedicated,Used
197.5,9.99,Buyer,Netbook,Dell,Windows 7,14.1,320,4,INTEL,2.5,2008,Dedicated,Manufacturer refurbished
647.97,0,Buyer,Notebook,Toshiba,Windows 8,15.6,320,4,ATOM,2.13,2001,Integrated,New
289.99,0,Buyer,Notebook,Lenovo,Windows 7,12.5,160,4,INTEL,2.5,2006,Integrated,Seller refurbished
99.99,21,Seller,Notebook,Dell,Windows 7,15.4,119.2,8,INTEL,2.67,2011,Hybrid,Used
325,0,Buyer,Notebook,Dell,Windows 8,11.6,500,4,INTEL,2.16,2008,Integrated,New
165,0,Buyer,Notebook,Dell,Windows 7,14.1,160,4,INTEL,1.86,2010,Hybrid,Seller refurbished
49.99,28,Buyer,Notebook,IBM,Not included,15.2,320,2,INTEL,2.2,2013,Hybrid,Used
269.99,0,Buyer,Laptop,Toshiba,Windows 8,14.1,320,4,AMD,2.13,2005,Hybrid,New
49.99,28,Buyer,Notebook,IBM,Not included,15.2,320,2,INTEL,2.2,2005,Integrated,Used
549.99,0,Buyer,Notebook,Dell,Windows 8,17.3,1000,8,INTEL,2.13,2007,Integrated,New
31,15,Buyer,Laptop,Lenovo,Windows Vista,14.1,120,4,INTEL,2.2,2008,Hybrid,Used
730,0,Seller,Laptop,Lenovo,Windows 8,13.3,256,8,INTEL,1.1,2014,Integrated,Used
160,0,Seller,Ultrabook,Asus,Chrome OS,14.1,320,4,INTEL,2.13,2005,Hybrid,Used
75,0,Buyer,Notebook,Samsung,Chrome OS,11.6,16,2,ATOM,1.7,2003,Integrated,Used
499.88,0,Buyer,Notebook,Dell,Windows 8,17.3,1000,8,AMD,2.1,2009,Dedicated,New
71,0,Buyer,Notebook,Toshiba,Windows Vista,15.6,160,2,INTEL,2.2,2009,Integrated,Used
120.5,18.5,Seller,Notebook,Dell,Windows 8,17.3,320,2,INTEL,1.8,2002,Hybrid,For parts or not working
139.99,0,Seller,Notebook,Gateway,Windows 2000,17,200,4,INTEL,2.26,2002,Dedicated,Used
259,0,Buyer,Ultrabook,Dell,Windows Vista,14.1,320,4,INTEL,2.13,2003,Dedicated,For parts or not working
119.99,13.8,Buyer,Notebook,Dell,Windows 7,14.1,80,2,INTEL,2,2003,Integrated,Used
99.99,0,Buyer,Notebook,Lenovo,Not included,15.4,160,4,INTEL,2.4,2009,Integrated,Used
52,0,Buyer,Notebook,Dell,Windows 7,13.3,320,4,INTEL,2.53,2011,Integrated,For parts or not working
139,0,Buyer,Notebook,Dell,Windows 7,14.1,60,2,INTEL,2.26,2015,Integrated,Seller refurbished
142.5,14.99,Buyer,Notebook,Dell,Windows 7,11.6,220,6,AMD,1.2,2008,Integrated,Used
45,18,Seller,Portable,HP,Windows 8,14.1,160,2,INTEL,2.2,2007,Integrated,Used
279.95,16.95,Buyer,Notebook,HP,Windows 7,15.6,500,4,AMD,2.7,2013,Dedicated,Seller refurbished
190.27,0,Buyer,Notebook,Toshiba,Windows 8,15.6,500,4,AMD,1.3,2001,Dedicated,Used
219.99,0,Buyer,Notebook,Asus,Windows 8,15.6,500,4,INTEL,2.16,2007,Integrated,Manufacturer refurbished
470,0,Buyer,Laptop,Lenovo,Windows 8,15.6,1000,8,INTEL,2,2014,Dedicated,Used
1749.99,0,Buyer,Notebook,Dell,Windows 8,14,256,8,INTEL,2.2,2013,Dedicated,New
